bid,lat,lon,btype,h3_grid_res_7,h3_grid_res_8,h3_grid_res_9,h3_grid_res_10
20292,51.343658,12.378786,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
23093,51.343658,12.378786,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
300248,51.343658,12.378786,150,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
300206,51.343658,12.378786,150,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
300018,51.343658,12.378786,150,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
20447,51.343658,12.378786,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
23258,51.343658,12.378786,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
21638,51.343658,12.378786,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
20277,51.343658,12.378786,150,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
20181,51.343658,12.378786,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb017fff
39006,51.343813,12.381495,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb01ffff
20458,51.343813,12.381495,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb01ffff
23587,51.343813,12.381495,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb01ffff
20067,51.343813,12.381495,183,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb01ffff
21743,51.343813,12.381495,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb01ffff
21984,51.343813,12.381495,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb01ffff
23421,51.344577,12.379628,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb007fff
21861,51.344577,12.379628,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb007fff
20231,51.345639,12.379167,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb027fff
20004,51.345639,12.379167,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb027fff
21586,51.345639,12.379167,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb03ffff,8a1f1a8cb027fff
